Animal,Extinction Frame,SSIM Index,Final state check,Initial Entropy,Final Entropy,params
Octascutium obliquus,-1,0.11936372006541371,soup,0.33758916595102456,1.746626711923258,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.11}"
Nonascutium,-1,0.8885234858390334,stable,0.36353102513264296,0.3733160187865863,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.108}"
Decascutium,-1,0.8753542652899793,stable,0.4002922612635767,0.40937554574882834,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.108}"
Dodecascutium,-1,0.24781099052558878,soup,0.473298104790611,1.7917734823427391,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.108}"
Tetradecascutium,-1,0.10298284213581375,soup,0.5474159605740488,1.8518152800338805,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.47, 's': 0.106}"
Tetracosascutium,-1,0.08185967441425285,soup,0.852049666432689,2.04843802239277,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.47, 's': 0.105}"
Catenoscutium bidirectus,91,,,0.06433069118647747,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.29, 's': 0.043}"
Gyropteron arcus,-1,0.9853529595077958,stable,0.05765690367705048,0.05144696670414059,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.283, 's': 0.0481}"
Gyropteron cavus,-1,0.9859758344758054,stable,0.05407026004759412,0.060543925268810465,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.25, 's': 0.04}"
Gyropteron serratus velox,-1,0.9868988843718672,stable,0.06628574854682051,0.06702058954235089,"{'R': 18, 'T': 10, 'b': '1/12,1/4,1/2,1', 'm': 0.21, 's': 0.032}"
Gyropteron serratus turbulentus,-1,0.9864120977786154,stable,0.05551020567877556,0.017427738147954227,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.21, 's': 0.028}"
Gyropteron serratus velox,11,,,0.06628574854682051,,"{'R': 18, 'T': 10, 'b': '1/12,1/4,1/2,1', 'm': 0.21, 's': 0.032}"
Gyropteron serratus velox,10,,,0.06628574854682051,,"{'R': 18, 'T': 10, 'b': '1/12,1/4,1/2,1', 'm': 0.21, 's': 0.032}"
Synptera cavus saliens,-1,0.9732090126998241,stable,0.08881061450342748,0.0835129613105034,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.26, 's': 0.038}"
Synptera cavus pedes,-1,0.9118520859196813,stable,0.09813621816315479,0.3724278838445472,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.238, 's': 0.0398}"
Synptera sinus pedes,-1,0.9691052675284461,stable,0.08980152327005389,0.08371626495109254,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.22, 's': 0.034}"
