Animal,MSE,SSIM
Hexacaudopteryx serratus cavus labens,0.16694735046244588,0.5632897755102582
Octacaudopteryx serratus cavus labens,0.1553734832604483,0.6014827316856682
Decacaudopteryx serratus sinus labens,0.1975395835732945,0.5009882344363893
Catenopteryx cyclon,0.0337659667756755,0.8989069465596828
Catenopteryx cyclon scutoides,0.31481315515494906,0.28643226919959053
Catenopteryx cinguli,0.36061251429457947,0.21118242959797437
Catenopteryx serratus cinguli,0.16426159824404238,0.5754059689545674
Helicium solidus,0.05368967552836947,0.8369880381591269
Helicium arcus saliens,0.08627350419381305,0.7294995716043984
Helicium arcus saliens ignis,0.17998454583818924,0.4886367648750886
Helicium arcus pedes,0.1570319596543982,0.5283969995407397
Helicium cavus pedes,0.14944627174055136,0.40680024352939015
Helicium serratus ocellus,0.09920965265383497,0.6986281641114526
Helicium serratus velox,0.1182171150730172,0.6268982396674689
Helicium serratus turbulentus,0.09735592788047516,0.6574573576466587
Helicium serratus turbulentus,0.0978619311732179,0.6537721474562147
Helicium serratus turbulentus,0.09956884569991573,0.6486427772438369
Pentahelicium solidus,0.01105034802505042,0.962935049132178
Pentahelicium ignis,0.006531630854865306,0.9721996932550487
Pentahelicium serratus limus,0.10770620536455165,0.7120720703108633
Heptahelicium solidus,0.052175834579740316,0.8545707221833704
Heptahelicium ignis,0.07602976737629458,0.7873226400004953
Heptahelicium serratus limus,0.12501043580365798,0.6661131212466517
Nonahelicium solidus,0.1715875609464389,0.573599473291129
Nonahelicium ignis,0.07692444521815353,0.7817077841841682
Nonahelicium serratus,0.15017957802960644,0.6199789596010103
Tetrahelicium(?),0.06262135413221338,0.8301252164191355
Tetrahelicium serratus,0.09007955466211608,0.7495791616084453
Tetrahelicium serratus fractus,0.10317962805390901,0.6873800701779488
Tetrahelicium serratus turbulentus,0.10678256945976443,0.6610377829820285
Hexahelicium solidus,0.009225255541396709,0.9662204569408748
Hexahelicium ignis,0.009147585967960234,0.9640145691034668
Hexahelicium serratus,0.11369979894481136,0.7081019987765406
Octahelicium,0.0734447720603319,0.797266549090688
Octahelicium serratus,0.14596521870951065,0.6118116879914539
Decahelicium,0.1646842258164484,0.5986522370607584
Decahelicium serratus,0.15321092603782108,0.6245314710741205
Dodecahelicium limus,0.18752730621271557,0.5551572979188953
Catenohelicium monospirae,0.014145879387643303,0.9498670632639796
Catenohelicium bispirae vacuoides,0.36817076558470946,0.06233565766885092
Catenohelicium bispirae scutoides,0.16804676707386543,0.5980402630871031
Circium lithos apertus,0.06399151234441293,0.6382044049251168
Circium lithos opertus,0.003321344953717695,0.9928225486052623
Circium ventilans,0.0016041831491510829,0.9950286196986458
Circium ventilans tenuis,0.04366540549779665,0.7287954868145188
Circium ventilans lateralis,0.0013388001797648335,0.9950893413585262
Circium ventilans scintillans,0.0015433243387933055,0.9953496152187455
Circium ventilans cumulans,0.0017382896391074047,0.9953184027419384
Circium rupturus,0.04347943481062235,0.6268023140562078
Discutium pachus,0.10503660061814277,0.8122746091395623
Trihelicium pachus,0.1453151889674404,0.6937500622425089
max-fleet,0.392253660030557,0.06107342304975926
Aerogeminium volitans,0.10578494389600213,0.6825122653570281
Aerogeminium ambiguus,0.10244467365424653,0.7031154151405891
Aerogeminium quietus,0.32106788311363293,0.1871011708602785
Aerogeminium labens,0.025409596592890337,0.9090034423156024
Hydrogeminium limus,0.1966618914338766,0.40151030347878064
Hydrogeminium natans,0.23316083361949802,0.3023436894033828
Hydrogeminium labens,0.34892883942541053,0.15545448381624813
Spinogeminium solidus,0.05183278237826225,0.8091988823832899
Spinogeminium limus,0.01614109715120386,0.9307636237958146
Gyrogeminium velox,0.1845286467185712,0.43362905578413946
Gyrogeminium tardus,0.18388372616221546,0.45934690796736966
Gyrogeminium serratus,0.08041957228535755,0.7241302560913484
Circogeminium ventilans,0.06153076402640554,0.8170397919442711
Kronium solidus,0.0023785799313214874,0.9895304694482805
Kronium tardus,0.0031680516977855592,0.9905910548691359
Kronium vagus,0.002101917728833261,0.9891790559552212
Kronium saliens,0.002946234339707084,0.9883752738936255
Kronium limus,0.07522314523648595,0.7344059500879436
Kronium dividuus,0.002572414071135501,0.9880126828935528
