Animal,MSE,SSIM
Hexacaudopteryx serratus cavus labens,0.1749793555548799,0.544797801515154
Octacaudopteryx serratus cavus labens,0.1634170468795316,0.5846165583526944
Decacaudopteryx serratus sinus labens,0.22090556700056999,0.4467940526748303
Catenopteryx cyclon,0.034076404258925504,0.8986093733688765
Catenopteryx cyclon scutoides,0.32185001623795456,0.27000508586930944
Catenopteryx cinguli,0.3607993762043209,0.21115197953527712
Catenopteryx serratus cinguli,0.1704994907442681,0.5634446395498128
Helicium solidus,0.050228160275716104,0.8467156018124764
Helicium arcus saliens,0.07556773664134366,0.7613787928241216
Helicium arcus saliens ignis,0.1737290727884976,0.5059369701369424
Helicium arcus pedes,0.15945139081632437,0.5216628371476996
Helicium cavus pedes,0.1422459626513759,0.4346828800392776
Helicium serratus ocellus,0.06554617337822981,0.7871911033596085
Helicium serratus velox,0.12237134896510439,0.6100097853037743
Helicium serratus turbulentus,0.10477103632247124,0.6214876295821968
Helicium serratus turbulentus,0.10436572228913407,0.6237591441175787
Helicium serratus turbulentus,0.10853902970818283,0.6101511086943743
Pentahelicium solidus,0.011719411508418865,0.9563173086042471
Pentahelicium ignis,0.008858567184808555,0.9650116843633767
Pentahelicium serratus limus,0.09929922677272658,0.7364439151665934
Heptahelicium solidus,0.04993615396702754,0.8608130514873914
Heptahelicium ignis,0.06533991079798139,0.8153949223196256
Heptahelicium serratus limus,0.12907530354292004,0.6614649921986175
Nonahelicium solidus,0.15965686235445128,0.6019803968401671
Nonahelicium ignis,0.07640551800028314,0.7827854983791948
Nonahelicium serratus,0.1523647654648546,0.6160146994484884
Tetrahelicium(?),0.062124030627004216,0.8281430936466413
Tetrahelicium serratus,0.05714252227610187,0.8301277420748726
Tetrahelicium serratus fractus,0.09232999865132091,0.7103018562429335
Tetrahelicium serratus turbulentus,0.09971386648571612,0.6766057947473297
Hexahelicium solidus,0.009205136053579546,0.9662563230159924
Hexahelicium ignis,0.008996260022647293,0.9646610023488649
Hexahelicium serratus,0.13158227074598275,0.6673033412105845
Octahelicium,0.08165685420365618,0.777475053147862
Octahelicium serratus,0.14092548644316588,0.6306419027303674
Decahelicium,0.1651594128052824,0.5977124167376967
Decahelicium serratus,0.167500136483661,0.5956417900588402
Dodecahelicium limus,0.18086935304709045,0.5689320049678093
Catenohelicium monospirae,0.012291644686542433,0.9551897428640734
Catenohelicium bispirae vacuoides,0.37597895060252845,0.05270744967832398
Catenohelicium bispirae scutoides,0.1678913265810013,0.5983363932238158
Circium lithos apertus,0.059598035441034196,0.6624163448418878
Circium lithos opertus,0.003157657699170504,0.9931049698528731
Circium ventilans,0.001507869147182761,0.9953274931846126
Circium ventilans tenuis,0.04960039103649654,0.6901525385337641
Circium ventilans lateralis,0.001411226707348613,0.9948471869299946
Circium ventilans scintillans,0.0016162822742454824,0.9951970180453301
Circium ventilans cumulans,0.0017382896391074047,0.9953184027419384
Circium rupturus,0.043332912417872585,0.6267211215383742
Discutium pachus,0.10326207259727449,0.815350700448809
Trihelicium pachus,0.14585218718369444,0.692355311443829
max-fleet,0.4001873212911431,0.0431756683421961
Aerogeminium volitans,0.0838836036168609,0.7584371417566974
Aerogeminium ambiguus,0.06954090302035741,0.7815778265814202
Aerogeminium quietus,0.21359991613929186,0.34943501704735586
Aerogeminium labens,0.049263899199160945,0.8118505263313989
Hydrogeminium limus,0.07818513305807447,0.664948353781748
Hydrogeminium natans,0.22917076201710396,0.2875728647428189
Hydrogeminium labens,0.2798720593573338,0.272036539415828
