Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params
Pentapteryx cavus labens,141,,0.14265623856046097,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Pentapteryx cavus saliens,-1,stable,0.14761035711849388,0.14691427111714056,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.298, 's': 0.0469}"
Pentapteryx cavus pedes,-1,stable,0.15613446502051462,0.16568023952722072,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.322, 's': 0.0531}"
Pentapteryx cavus furiosus,-1,stable,0.13223784068899094,0.1360287122015793,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.285, 's': 0.0408}"
Pentapteryx arcus valvatus,401,,0.17506634129642984,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.383, 's': 0.0695}"
Pentapteryx serratus cavus labens,-1,stable,0.1572675471768412,0.16150164610980278,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.34, 's': 0.056}"
Hexapteryx arcus labens,-1,stable,0.21623679442263394,0.2208093426200711,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Hexapteryx cavus labens,138,,0.16355695177917765,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Hexapteryx serratus cavus labens,-1,stable,0.19340477953629667,0.19686545746337078,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.062}"
Heptapteryx arcus labens,-1,stable,0.24369234250017374,0.2521977927743502,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Heptapteryx cavus labens,-1,stable,0.18870611709202345,0.19443632049996787,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Heptapteryx cavus labens cunctans,162,,0.18406357107337568,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.333, 's': 0.048}"
Heptapteryx serratus cavus labens,-1,soup,0.21895390746513074,1.6260118164746034,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.061}"
Heptapteryx serratus liquefaciens,-1,stable,0.19919563931774217,0.2192952629817984,"{'R': 10, 'T': 10, 'b': '3/4,1,1', 'm': 0.34, 's': 0.051}"
Octapteryx arcus labens,-1,stable,0.2730302529328037,0.2845815998333097,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Octapteryx cavus labens,461,,0.21099348381861985,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}"
Octapteryx serratus cavus labens,-1,stable,0.25403860565237235,0.2583995137335263,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.065}"
Nonapteryx arcus labens,-1,stable,0.3032384512683197,0.3143231463391832,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Nonapteryx cavus labens,-1,stable,0.24677581022916925,0.2530243770817963,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}"
Nonapteryx serratus cavus labens,-1,stable,0.295606353251781,0.30113121739264215,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.068}"
Nonapteryx serratus sinus labens,-1,stable,0.2767230497518019,0.28133637901031255,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.064}"
Decapteryx arcus labens,-1,stable,0.33761266106933424,0.34487761577534404,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Decapteryx cavus labens,-1,stable,0.26741012823615606,0.2775257824355924,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}"
Decapteryx serratus sinus labens,-1,stable,0.3388602484627402,0.3464075019254722,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.07}"
Tridecapteryx arcus valvatus,-1,stable,0.4351623905437589,0.6589124626519821,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.402, 's': 0.0798}"
Tetracosapteryx arcus labens,-1,stable,0.7020834579229899,0.7403119559851823,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Tetracosapteryx cavus labens,-1,stable,0.5578801214801036,0.5830050347189903,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.053}"
Hexacaudopteryx,-1,soup,0.2575546930046323,0.8994017384877853,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.048}"
Hexacaudopteryx serratus cavus labens,-1,stable,0.2241134191457846,0.22615130452890525,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.063}"
Octacaudopteryx serratus cavus labens,-1,stable,0.27443736114106965,0.28156857983270983,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.064}"
Decacaudopteryx serratus sinus labens,-1,soup,0.3398801411918951,1.8100278452031826,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.065}"
Catenopteryx cyclon,-1,soup,0.11654955906463568,1.280722565765494,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.34, 's': 0.045}"
Catenopteryx cyclon scutoides,-1,soup,0.1336217669671668,1.0755944499335974,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.38, 's': 0.07}"
Catenopteryx cinguli,-1,stable,0.6159842713267755,0.634962006061227,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.38, 's': 0.07}"
Catenopteryx serratus cinguli,393,,0.3414034298829278,,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.062}"
Helicium solidus,-1,stable,0.1074098810998033,0.10694524966417157,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.059}"
Helicium arcus saliens,-1,stable,0.10034666292280392,0.10547545601218207,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0474}"
Helicium arcus saliens ignis,-1,soup,0.10965293522565689,1.1487683153337254,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.323, 's': 0.0577}"
