Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Triscutium serratus valvatus laterale,-1,stable,0.1097697348726797,0.1203608089356237,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.35, 's': 0.059}",642,0.9424083769633508,0.0653306879565411,0.0815897396968895,0.7587435309397621,0.12
Tetrascutium solidus,-1,stable,0.1683370510138073,0.4262648911272221,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.422, 's': 0.0878}",1021,0.9784580498866212,0.0342612380176393,0.153617060740493,0.644509342023016,0.05
Tetrascutium valvatus,-1,stable,0.1521496178413013,0.1638446939403165,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.396, 's': 0.0764}",916,0.9670487106017192,0.0356851964480354,0.1412737619269138,0.6530239199808332,0.06
Pentascutium solidus,-1,stable,0.1929771683226707,0.2020640160424253,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.422, 's': 0.0858}",1208,0.9767441860465116,0.0265661349511978,0.1598448047445932,0.6301151628984072,0.06
Pentascutium valvatus,-1,stable,0.1948678605704005,0.3550441812298357,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.407, 's': 0.0806}",1194,0.9772972972972972,0.0239782151902331,0.1751476242966238,0.5832198300589455,0.06
Hexascutium,-1,stable,0.2333071641100946,0.2396318295472908,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.46, 's': 0.1}",1513,0.9781221513217868,0.0243058037871362,0.1531273397860533,0.669457770781294,0.06
Heptascutium,-1,stable,0.2733259713578246,0.2836077283382684,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.49, 's': 0.112}",1854,0.9736111111111112,0.0288792007379771,0.1499821443426347,0.6943731247538399,0.07
Octascutium,-1,soup,0.3239500498793358,1.4855316822114284,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.49, 's': 0.112}",2237,0.9697986577181208,0.0248176208171161,0.1847313442800381,0.6263553662802244,0.09
Octascutium obliquus,-1,soup,0.3375891659510245,1.746626711923258,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.11}",2349,0.961169944528492,0.0202474690951944,0.2236181955853543,0.5442589589312835,0.06
Nonascutium,-1,stable,0.3635310251326429,0.3733160187865863,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.108}",2533,0.9786455155582672,0.0180783222182809,0.2195860095994606,0.5500505993109479,0.07
Decascutium,-1,stable,0.4002922612635767,0.4093755457488283,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.108}",2852,0.9731379731379732,0.0146386725997141,0.2430869693116703,0.5031311647016081,0.08
Dodecascutium,-1,soup,0.473298104790611,1.7917734823427391,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.48, 's': 0.108}",3457,0.9730021598272138,0.014797343055362,0.2943366502583491,0.4054038505238875,0.1
Tetradecascutium,-1,soup,0.5474159605740488,1.8518152800338803,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.47, 's': 0.106}",4037,0.9763969171483622,0.0097126163420636,0.3562169506649299,0.2871379005930773,0.11
Tetracosascutium,-1,soup,0.852049666432689,2.04843802239277,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.47, 's': 0.105}",6884,0.9593675307961024,0.0070021114404638,0.4992444365637019,0.0630461649340943,0.24
Catenoscutium bidirectus,91,,0.0643306911864774,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.29, 's': 0.043}",344,1.0,0.1407878168510813,0.0703053043550073,0.749615618006924,0.0
Gyropteron arcus,-1,stable,0.0576569036770504,0.0514469667041405,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.283, 's': 0.0481}",316,0.926829268292683,0.1394923027600274,0.1157801559197924,0.6328843686686597,0.02
Gyropteron cavus,-1,stable,0.0540702600475941,0.0605439252688104,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.25, 's': 0.04}",281,0.8926380368098159,0.2271869116288017,0.1259009019184951,0.5508314497961475,0.02
