Animal,MSE,SSIM,tolerance
Pentapteryx arcus valvatus,0.1520250934836271,0.6160589651367528,0.13
Pentapteryx serratus cavus labens,0.1316082128521626,0.6366148439502803,0.13
Hexapteryx arcus labens,0.2009695759297061,0.4952912034345689,0.17
Hexapteryx cavus labens,0.1107834808292423,0.685889767755386,0.24
Hexapteryx serratus cavus labens,0.1565028896456846,0.592614242520488,0.21
Heptapteryx arcus labens,0.2169025427679294,0.4578027261348377,0.17
Heptapteryx cavus labens,0.1449130300124021,0.5942893375493019,0.21
Heptapteryx cavus labens cunctans,0.1241569977678832,0.6434866150020753,0.22
Heptapteryx serratus cavus labens,0.167370684595474,0.5625300618507405,0.08
Heptapteryx serratus liquefaciens,0.1249358235240129,0.6394663381258902,0.19
Octapteryx arcus labens,0.2429920701934085,0.3954502421053549,0.15
Octapteryx cavus labens,0.1640071197508026,0.5441615295295386,0.24
Octapteryx serratus cavus labens,0.1694348304995155,0.5699778575755267,0.15
Nonapteryx arcus labens,0.2620761774933449,0.3543862850487087,0.14
Nonapteryx cavus labens,0.2198566896334018,0.4045395482490831,0.17
Nonapteryx serratus cavus labens,0.1910306793863045,0.5262718112423563,0.1
Nonapteryx serratus sinus labens,0.1782130714512284,0.5486555830470631,0.07
Decapteryx arcus labens,0.2918705187748874,0.2908569040190311,0.16
Decapteryx cavus labens,0.2373394478054321,0.3607961553230274,0.19
Decapteryx serratus sinus labens,0.2343006992116318,0.4255718212637934,0.1
Tridecapteryx arcus valvatus,0.357238374817623,0.1914758734844921,0.2
Tetracosapteryx arcus labens,0.4274654308240616,0.060323804392838,0.31
Tetracosapteryx cavus labens,0.3780720507186648,0.0927267681333289,0.26
Hexacaudopteryx,0.0801731887898582,0.7673935543692149,0.05
Hexacaudopteryx serratus cavus labens,0.1749793555548799,0.544797801515154,0.06
Octacaudopteryx serratus cavus labens,0.1634170468795316,0.5846165583526944,0.04
Decacaudopteryx serratus sinus labens,0.2209055670005699,0.4467940526748303,0.05
Catenopteryx cyclon,0.0340764042589255,0.8986093733688765,0.0
Catenopteryx cyclon scutoides,0.3218500162379545,0.2700050858693094,0.0
Catenopteryx cinguli,0.3607993762043209,0.2111519795352771,0.56
Catenopteryx serratus cinguli,0.1704994907442681,0.5634446395498128,0.11
Helicium solidus,0.0502281602757161,0.8467156018124764,0.05
Helicium arcus saliens,0.0755677366413436,0.7613787928241216,0.15
Helicium arcus saliens ignis,0.1737290727884976,0.5059369701369424,0.04
Helicium arcus pedes,0.1594513908163243,0.5216628371476996,0.13
Helicium cavus pedes,0.1422459626513759,0.4346828800392776,0.07
Helicium serratus ocellus,0.0655461733782298,0.7871911033596085,0.23
Helicium serratus velox,0.1223713489651043,0.6100097853037743,0.22
Helicium serratus turbulentus,0.1047710363224712,0.6214876295821968,0.25
Helicium serratus turbulentus,0.1047710363224712,0.6214876295821968,0.25
Helicium serratus turbulentus,0.1047710363224712,0.6214876295821968,0.25
Helicium serratus turbulentus,0.104365722289134,0.6237591441175787,0.25
Helicium serratus turbulentus,0.104365722289134,0.6237591441175787,0.25
Helicium serratus turbulentus,0.104365722289134,0.6237591441175787,0.25
Helicium serratus turbulentus,0.1085390297081828,0.6101511086943743,0.25
Helicium serratus turbulentus,0.1085390297081828,0.6101511086943743,0.25
Helicium serratus turbulentus,0.1085390297081828,0.6101511086943743,0.25
Pentahelicium solidus,0.0117194115084188,0.9563173086042472,0.06
Pentahelicium ignis,0.0088585671848085,0.9650116843633768,0.1
Pentahelicium serratus limus,0.0992992267727265,0.7364439151665934,0.06
Heptahelicium solidus,0.0499361539670275,0.8608130514873914,0.07
Heptahelicium ignis,0.0653399107979813,0.8153949223196256,0.07
Heptahelicium serratus limus,0.12907530354292,0.6614649921986175,0.08
Nonahelicium solidus,0.1596568623544512,0.6019803968401671,0.04
Nonahelicium ignis,0.0764055180002831,0.7827854983791948,0.04
Nonahelicium serratus,0.1523647654648546,0.6160146994484884,0.03
Tetrahelicium(?),0.0621240306270042,0.8281430936466413,0.0
Tetrahelicium serratus,0.0571425222761018,0.8301277420748726,0.11
Tetrahelicium serratus fractus,0.0923299986513209,0.7103018562429335,0.25
Tetrahelicium serratus turbulentus,0.0997138664857161,0.6766057947473297,0.25
Hexahelicium solidus,0.0092051360535795,0.9662563230159924,0.06
Hexahelicium ignis,0.0089962600226472,0.9646610023488648,0.09
Hexahelicium serratus,0.1315822707459827,0.6673033412105845,0.09
Octahelicium,0.0816568542036561,0.777475053147862,0.03
Octahelicium serratus,0.1409254864431658,0.6306419027303674,0.11
Decahelicium,0.1651594128052824,0.5977124167376967,0.05
Decahelicium serratus,0.167500136483661,0.5956417900588402,0.02
Dodecahelicium limus,0.1808693530470904,0.5689320049678093,0.05
Catenohelicium monospirae,0.0122916446865424,0.9551897428640734,0.04
Catenohelicium bispirae vacuoides,0.3759789506025284,0.0527074496783239,0.01
Catenohelicium bispirae scutoides,0.1678913265810013,0.5983363932238158,0.01
Circium lithos apertus,0.0595980354410341,0.6624163448418878,0.34
Circium lithos opertus,0.0031576576991705,0.9931049698528732,0.24
Circium ventilans,0.0015078691471827,0.9953274931846126,0.38
Circium ventilans tenuis,0.0496003910364965,0.6901525385337641,0.53
Circium ventilans lateralis,0.0014112267073486,0.9948471869299946,0.07
Circium ventilans scintillans,0.0016162822742454,0.99519701804533,0.04
Circium ventilans cumulans,0.0017382896391074,0.9953184027419384,0.1
Circium rupturus,0.0433329124178725,0.6267211215383742,0.0
Discutium pachus,0.1032620725972744,0.815350700448809,0.15
Trihelicium pachus,0.1458521871836944,0.692355311443829,0.03
max-fleet,0.4001873212911431,0.0431756683421961,0.25
Aerogeminium volitans,0.0838836036168609,0.7584371417566974,0.19
Aerogeminium ambiguus,0.0695409030203574,0.7815778265814202,0.29
Aerogeminium quietus,0.2135999161392918,0.3494350170473558,0.47
Aerogeminium labens,0.0492638991991609,0.8118505263313989,0.37
Hydrogeminium limus,0.0781851330580744,0.664948353781748,0.46
Hydrogeminium natans,0.2291707620171039,0.2875728647428189,0.34
Hydrogeminium labens,0.2798720593573338,0.272036539415828,0.3
Spinogeminium solidus,0.1027003901443397,0.5576568822985095,0.25
Spinogeminium limus,0.045057366579511,0.7888029590891638,0.25
Gyrogeminium velox,0.1241962967275325,0.5018475979897673,0.45
Gyrogeminium tardus,0.089005959504495,0.6320493088648166,0.44
Gyrogeminium serratus,0.1900893520781396,0.2674839043621261,0.3
Circogeminium ventilans,0.0189056363648316,0.948896116327571,0.11
Kronium solidus,0.0064141379037361,0.9728629433087224,0.23
Kronium solidus,0.0064141379037361,0.9728629433087224,0.23
Kronium solidus,0.0064141379037361,0.9728629433087224,0.23
Kronium solidus,0.0084324550744218,0.9653197946587964,0.23
Kronium solidus,0.0084324550744218,0.9653197946587964,0.23
Kronium solidus,0.0084324550744218,0.9653197946587964,0.23
Kronium solidus,0.0051962286166606,0.9779971911214465,0.23
Kronium solidus,0.0051962286166606,0.9779971911214465,0.23
Kronium solidus,0.0051962286166606,0.9779971911214465,0.23
Kronium tardus,0.0028289896661826,0.9909173101696844,0.39
Kronium vagus,0.0052024316687291,0.9751659238040726,0.11
Kronium saliens,0.005221683619059,0.9797108824899255,0.34
Kronium saliens,0.005221683619059,0.9797108824899255,0.34
Kronium saliens,0.0050302358777904,0.9805514850941212,0.34
Kronium saliens,0.0050302358777904,0.9805514850941212,0.34
Kronium limus,0.1052928859672833,0.5575818987482979,0.62
Kronium dividuus,0.033063969059548,0.8707072526635421,0.17
Gyrokronium,0.0213711393570905,0.9073554844354232,0.2
Argentokronium,0.003133873097502,0.985362253004718,0.24
Ferrokronium solidus,0.0142670109189672,0.9506552146148056,0.61
Ferrokronium solidus,0.0142670109189672,0.9506552146148056,0.61
Ferrokronium solidus,0.0143585634202952,0.9505926334787802,0.61
Ferrokronium solidus,0.0143585634202952,0.9505926334787802,0.61
Ferrokronium valvatus centrale,0.0929495029973001,0.6283789549415179,0.56
Ferrokronium valvatus laterale,0.0857028897258846,0.6706466083787771,0.53
Ferrokronium tardus,0.0052226748216826,0.9862491212593364,0.55
Ferrokronium circularis,0.003317361610566,0.9886074314168674,0.42
Ferrokronium saliens,0.0056051391069171,0.983708438726319,0.61
Aurokronium arcus,0.0470343260631482,0.8385865912131513,0.12
Aurokronium cavus,0.0171904089456513,0.9259683660378264,0.17
Synkronium arcus,0.0053935233952944,0.980163043331128,0.09
Synkronium cavus,0.0069426213691265,0.9706229416667737,0.23
Florakronium arcus,0.0222219526518095,0.9291963654339987,0.45
Florakronium cavus,0.0056570461171781,0.9781861449955324,0.34
Allikronium,0.0648093897514268,0.7391991744911172,0.08
Parakronium arcus,0.0106824002649124,0.9640039894669644,0.13
Parakronium cavus,0.0456615458619494,0.83299049953751,0.18
